+|LEGALIDRANDOMIZER|AUDIO
+|SAFEHARBOR|AUDIO
+|UNDERWRITER|AUDIO
+|02 - Opiate of The Masses.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|01 - Darkness Descends_new.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|03 Slaves of Sin_new.mp3|AUDIO
+|04 - Wicked Mystic.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|03 - Betrayed Truth_new.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|SAFEHARBOR|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|03 - Zlo I Naopako.mp3|AUDIO
+|PSARANDOMIZER|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|04 Afterlife.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|01 Violence at the Morgue.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|02 The Clerical Conspiracy_new.mp3|AUDIO
+|01. Voices In The Morgue_new.mp3|AUDIO
+|SAFEHARBOR|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|04. Dismember - Let The Napalm Rain_new.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|01 Leprosy.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LEGALIDRANDOMIZER|AUDIO
+|SAFEHARBOR|AUDIO
+|UNDERWRITER|AUDIO
+|02 - Opiate of The Masses.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|01 - Darkness Descends_new.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|03 Slaves of Sin_new.mp3|AUDIO
+|04 - Wicked Mystic.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|03 - Betrayed Truth_new.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|SAFEHARBOR|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|03 - Zlo I Naopako.mp3|AUDIO
+|PSARANDOMIZER|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|04 Afterlife.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|01 Violence at the Morgue.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|02 The Clerical Conspiracy_new.mp3|AUDIO
+|01. Voices In The Morgue_new.mp3|AUDIO
+|SAFEHARBOR|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|04. Dismember - Let The Napalm Rain_new.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|01 Leprosy.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LINERSRANDOMIZER|AUDIO
