+|LEGALIDRANDOMIZER|AUDIO
+|SAFEHARBOR|AUDIO
+|UNDERWRITER|AUDIO
+|01 - Agnus Dei_new.mp3|AUDIO
+|02 - Blod og Blek.mp3|AUDIO
+|07 - Melissa.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|03_skeletonwitch-i_am_of_death_(hell_has_arrived)-fih.mp3|AUDIO
+|01 - Sleep Of Death_new.mp3|AUDIO
+|01 Satanic Lust.mp3|AUDIO
+|SAFEHARBOR|AUDIO
+|02 Hades.mp3|AUDIO
+|PSARANDOMIZER|AUDIO
+|05 Necrolust.mp3|AUDIO
+|03 - Everquest I.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|SAFEHARBOR|AUDIO
+|Ulver - Ulver - Ulver - Vargnatt [Demo, Remastered 2009]_new.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LEGALIDRANDOMIZER|AUDIO
+|SAFEHARBOR|AUDIO
+|UNDERWRITER|AUDIO
+|01 - Agnus Dei_new.mp3|AUDIO
+|02 - Blod og Blek.mp3|AUDIO
+|07 - Melissa.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|03_skeletonwitch-i_am_of_death_(hell_has_arrived)-fih.mp3|AUDIO
+|01 - Sleep Of Death_new.mp3|AUDIO
+|01 Satanic Lust.mp3|AUDIO
+|SAFEHARBOR|AUDIO
+|02 Hades.mp3|AUDIO
+|PSARANDOMIZER|AUDIO
+|05 Necrolust.mp3|AUDIO
+|03 - Everquest I.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|SAFEHARBOR|AUDIO
+|Ulver - Ulver - Ulver - Vargnatt [Demo, Remastered 2009]_new.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LINERSRANDOMIZER|AUDIO
