+|LEGALIDRANDOMIZER|AUDIO
+|UNDERWRITER|AUDIO
+|03. Lacrimosa.mp3|AUDIO
+|1 Jerusalem (pt. 1).mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|03 Melvins - Sacrifice.mp3|AUDIO
+|PSARANDOMIZER|AUDIO
+|02-elder-dead_roots_stirring-berc.mp3|AUDIO
+|02 Unitive Knowledge Of The Godhead_new.mp3|AUDIO
+|02. The Sword - Tres Brujas_new.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|01 - Orcus Averice.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LEGALIDRANDOMIZER|AUDIO
+|UNDERWRITER|AUDIO
+|03. Lacrimosa.mp3|AUDIO
+|1 Jerusalem (pt. 1).mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|03 Melvins - Sacrifice.mp3|AUDIO
+|PSARANDOMIZER|AUDIO
+|02-elder-dead_roots_stirring-berc.mp3|AUDIO
+|02 Unitive Knowledge Of The Godhead_new.mp3|AUDIO
+|02. The Sword - Tres Brujas_new.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|01 - Orcus Averice.mp3|AUDIO
+|LINERSRANDOMIZER|AUDIO
+|LINERSRANDOMIZER|AUDIO
