Artist	Album	Song	Duration	Explicit
Sufjan Stevens	The Age of Adz	Vesuvius	5.433	0
Bibio	Ambivalence Avenue	Lovers’ Carvings	3.967	0
Björk	Homogenic	Bachelorette	5.200	0
St. Vincent	St. Vincent	Digital Witness	3.367	0
Feist	Metals	How Come You Never Go There	3.417	0
Ellie Goulding	Halcyon	Anything Could Happen	4.767	0
Lorde	Pure Heroine	Royals	3.167	0
Banks	Goddess	Someone New	4.683	1
Passion Pit	Gossamer	Constant Conversations	3.917	0
Phantogram	Eyelid Movies	Mouthful of Diamonds	4.217	0
The xx	Coexist	Angels	2.867	0
Marina & The Diamonds	Electra Heart	Primadonna	3.667	0
