Artist	Album	Song	Duration	Explicit
Killing Joke	Night Time	Love Like Blood	6.800	0
Cabaret Voltaire	The Voice of America	Kneel to the Boss	4.017	0
Chrome	Half Machine Lip Moves	TV as Eyes	2.317	0
Hüsker Dü	Zen Arcade	Something I Learned Today	2.183	0
Talking Heads	Remain in Light	Once in a Lifetime	4.367	0
Elvis Costello	My Aim Is True	Alison	3.367	0
Roxy Music	Stranded	Sunset	6.067	0
Kate Bush	The Dreaming	Suspended in Gaffa	3.917	0
Prince	1999	Little Red Corvette	5.050	0
Simple Minds	New Gold Dream (81-82-83-84)	Promised You a Miracle	4.483	0
David Bowie	Low	What in the World	2.383	0
Brian Eno	Here Come the Warm Jets	On Some Faraway Beach	4.600	0
