Artist	Album	Song	Duration	Explicit
Sabrepulse	Chipbreak Wars	Storm Raid Battle	3.417	0
Venetian Snares	Huge Chrome Cylinder Box Unfolding	Huge Chrome Peach	4.450	0
Igorrr	Moisissure	Putrefiunt	4.867	0
Venetian Snares	Detrimentalist	Gentleman	4.550	1
Squarepusher	Budakhan Mindphone	Iambic 5 Poetry	5.517	0
FaltyDL	Love Is a Liability	To New York	3.933	0
Mount Kimbie	Crooks & Lovers	Before I Move Off	4.167	0
Distance	My Demons	Night Vision	6.150	0
Alva Noto	Unitxt	u_07	7.950	0
Matmos	A Chance to Cut Is a Chance to Cure	California Rhinoplasty	10.017	0
