Artist	Album	Song	Duration	Explicit
St. Vincent	St. Vincent	Digital Witness	3.367	0
Arcade Fire	Funeral	Wake Up	5.583	0
Sufjan Stevens	Illinois	Casimir Pulaski Day	5.883	0
Beck	Morning Phase	Blue Moon	4.033	0
Blur	Parklife	Girls & Boys	4.833	0
Coldplay	Ghost Stories	Magic	4.750	0
Radiohead	Kid A	Idioteque	5.300	0
Daft Punk	Random Access Memories	Instant Crush	5.550	0
Lorde	Pure Heroine	Royals	3.167	0
The Avalanches	Since I Left You	Close to You	3.933	0
LCD Soundsystem	Sound of Silver	Someone Great	6.417	0
Propellerheads	Decksandrumsandrockandroll	Take California	7.350	0
