Artist	Album	Song	Duration	Explicit
King Diamond	Abigail	The Family Ghost	4.083	0
Evile	Enter the Grave	Schizophrenia	4.300	0
Voivod	Dimension Hatröss	Chaosmöngers	4.683	0
Eternal Tears of Sorrow	Vilda Mánnu	Burning Flames' Embrace	4.117	0
Voivod	Nothingface	Astronomy Domine	5.500	0
Sarcófago	I.N.R.I.	Nightmare	5.633	0
Megadeth	Killing Is My Business... And Business Is Good!	Mechanix	4.350	1
Dissection	Storm of the Light's Bane	Night's Blood	6.667	0
Dragonlord	Black Wings of Destiny	The Curse of Woe	5.650	0
Sacrifice	Forward to Termination	The Entity	5.733	0
