Artist	Album	Song	Duration	Explicit
Sparklehorse	It's a Wonderful Life	Piano Fire	2.717	0
Patron Saint of Bridge Burners	Sorry.	Crystal Meth Blues (About Forgiveness)	2.983	0
Songs: Ohia	The Lioness	Lioness	6.617	0
Jonathan Coulton	Jonathan Coulton's Greatest Hit (Plus 13 Other Songs)	Re: Your Brains	4.533	0
Bat for Lashes	The Haunted Man	The Haunted Man	5.250	0
Robyn Hitchcock	I Often Dream of Trains	I Often Dream of Trains	2.467	0
Imogen Heap	Sparks	You Know Where to Find Me	4.950	0
Mark Oliver Everett	Music from the Film Levity	Lonesome Subway	0.983	0
Jonathan Wilson	Gentle Spirit	Desert Raven	7.967	0
Patrick Watson	Adventures in Your Own Backyard	Strange Crooked Road	3.717	0
Kevin Devine	Brother's Blood	I Could Be With Anyone	2.817	0
Mark Kozelek	Sings Christmas Carols	Christmas Time Is Here	3.950	0
