Artist	Album	Song	Duration	Explicit
Spiritual Beggars	Demons	Throwing Your Life Away	3.533	1
Alabama Thunderpussy	Fulton Hill	Such Is Life	4.383	1
Corrosion of Conformity	Deliverance	Clean My Wounds	3.533	0
The Sword	Age of Winters	Freya	4.567	0
Kyuss	Wretch	Love Has Passed Me By	3.200	0
Melvins	Nude with Boots	The Kicking Machine	2.700	0
Elder	Dead Roots Stirring	Dead Roots Stirring	12.000	0
Electric Wizard	Black Masses	Venus in Furs	6.367	0
Down	NOLA	Stone the Crow	4.700	0
High on Fire	Blessed Black Wings	Blessed Black Wings	7.717	0
