Artist	Album	Song	Duration	Explicit
Isengard	Høstmørke	Landet og havet	1.117	0
Heol Telwen	An Deiz Ruz	An Douar Eleh Mon Ganet	1.317	0
Bran Barr	Sidh	Celebration: Son of Nuadh Amhach	4.983	0
Winterfylleth	The Threnody of Triumph	The Swart Raven	7.800	0
Falls of Rauros	Revisitation	Of Stone and the Stars in the Sky	9.167	0
Korpiklaani	Voice of Wilderness	Beer Beer	2.983	0
Moonsorrow	Voimasta ja kunniasta	Sankarihauta	7.667	0
Ensiferum	One More Magic Potion	Lady in Black	4.600	0
Dalriada	Fergeteg	Népdal	2.817	0
Petrychor	Effigies and Epitaphs	I Lift My Voice	2.450	0
Eluveitie	Origins	King	4.550	0
