Artist	Album	Song	Duration	Explicit
Sufjan Stevens	Michigan	For the Widows in Paradise, For the Fatherless in Ypsilanti	3.950	0
Beirut	The Rip Tide	Nantes	4.300	0
Elliott Smith	Either/Or	Alameda	3.717	0
Bright Eyes	Cassadaga	I Must Belong Somewhere	6.317	0
Monsters of Folk	Monsters of Folk	Temazcal	3.817	0
Feist	Metals	The Bad in Each Other	4.750	0
Regina Spektor	What We Saw from the Cheap Seats	Jessica	1.733	0
Ingrid Michaelson	Everybody	Everybody	3.483	0
Andrew Bird	Andrew Bird & the Mysterious Production of Eggs	Fake Palindromes	2.867	0
Joanna Newsom	Have One on Me	'81	3.850	0
Ane Brun	It All Starts with One	Do You Remember	3.200	0
Angus & Julia Stone	Angus & Julia Stone	Other Things	2.983	1
Dakota Suite	The End of Trying	One Day Without Harming You	5.367	0
