2442	Yumi Zouma	50	37554	371715	651	2489
41	Octo Octa	24	9740	166004	2201	24221
65	Trentemøller	62	548788	14989633	8510	115089
38	Claude VonStroke	51	168789	1187649	6950	89793
5	Birdman	73	1048617	5236438	11430	154311
2443	Merely	20	2224	19826	21	136
4	Rich Hil	25	5572	173961	37	583
6	Big Tymers	56	195197	1009993	1502	18736
7	Juvenile	65	434969	2353655	3813	45247
8	Juelz Santana	71	656565	4214247	3158	62059
10	Mack Maine	60	9768	61064	1298	15929
11	Brisco	47	246082	612696	1302	36588
12	Gillie Da Kid	33	18861	96635	66	1195
1994	Apollo XI	0	339	1188	9	54
14	Million Dollar Idea	0	112	1239	2	16
16	Lil' Slim	8	193	1353	0	0
17	General Larry Platt	14	1835	8808	4	14
18	M-Phazes	36	7071	105637	4113	42636
19	Hot Boy$	6	77689	261669	1058	12543
20	Cash Money Millionaires	14	7520	54075	93	1000
1995	Ultramarine	22	15005	140247	572	4694
22	Turk	41	16376	116664	801	9873
1996	Millenia Nova	21	23907	173618	105	620
24	Crazy Loc	27	1	4	0	0
26	Cali Swag District	57	202955	846920	225	4395
27	Lil Twist	51	236460	582452	592	12742
1997	Woob	13	17763	251766	605	3776
97	Yellow Magic Orchestra	24	88413	3507899	1423	21712
1998	Belka And Strelka	0	562	4666	6	89
2445	Trails and Ways	49	74223	502861	169	1197
2446	Differnet	10	6672	105688	170	1670
2447	A Sunny Day in Glasgow	42	171045	3263636	1790	20072
2448	Dreamsploitation	0	812	18529	30	298
2449	Kisses	50	102219	1287368	418	6439
2451	Testbild!	13	4257	57932	42	513
2452	A Winged Victory for the Sullen	54	75903	1639931	3124	12782
1999	The Sabres of Paradise	29	165680	892186	1699	16860
45	Basement Jaxx	66	1110475	20084706	10623	128199
2453	Ólafur Arnalds	72	558266	17768404	3964	32032
2454	Stars of the Lid	61	337095	10820351	2140	20154
2000	Secede	30	88467	1405942	706	8870
2001	System 7	32	90349	670473	1567	14561
2002	Drome	7	19853	84061	210	1631
2455	Olan Mill	46	28917	412509	615	4183
52	Robyn & Röyksopp	57	4890	43708	0	0
53	Nero	72	793042	15657812	12123	184817
2004	Bill Laswell	38	78623	920260	5579	50659
2005	The Fireman	24	115749	709335	102	1516
2006	Rootmasters	0	0	0	0	0
2456	William Ryan Fritch	38	5740	62533	516	2658
56	DJ Koze	56	191654	2406399	10048	87367
2457	Brian McBride	55	51032	843458	189	1808
90	Lena Meyer-Landrut	0	47084	1030930	545	5514
2007	Sun Electric	20	0	0	909	6892
60	Ron Trent	33	22444	111706	2450	22911
2008	Steve Hillage	35	0	0	1951	19095
2458	The Dead Texan	50	117297	1571413	124	1299
74	Goblin	37	99209	1608557	1926	20812
103	Michna	40	52000	406536	1064	12542
2459	Dustin O'Halloran	65	272215	5230027	2198	15865
2009	HFB	0	0	0	14	163
2010	Thomas Fehlmann	32	0	0	3284	35916
76	B.I.G.	86	6454	45528	0	0
2460	Richard Skelton	26	16326	325075	518	4635
2461	Adam Wiltzie	4	1944	4569	141	1256
82	Queens of the Stone Age	76	2285025	119253319	12040	115187
51	Andy Stott	30	76142	2311242	5401	45953
25	Nicki Minaj	99	1756957	48996992	33666	405804
44	Azealia Banks	72	440180	15196688	5371	51810
112	The New Basement Tapes	62	48400	390438	5478	20373
113	Creedence Clearwater Revival	81	2128233	49852495	9498	161747
37	Super Flu	58	95804	579072	2708	18548
31	Gaspard Augé & Mr. Oizo	35	35	777	0	0
66	Caribou	70	803831	24588966	22558	194912
115	Antibreak	5	2903	44980	1990	15561
30	Christian Löffler	52	23591	448902	3392	27272
1992	Youth	68	34744	162819	3654	35771
95	Perturbator	53	49808	1594489	2090	8321
79	Unknown Mortal Orchestra	71	277842	5780997	10318	46777
116	1200 Micrograms	47	156423	3334371	1582	19436
59	Robag Wruhme	46	86247	851224	4910	44986
80	Ozric Tentacles	46	123202	4043933	8775	36706
84	My Bloody Valentine	56	805614	35665999	11395	143246
81	Nico & The Velvet Underground	0	3197	12329	0	0
88	FM3	19	4320	112759	85	725
89	Glenn Gould	68	285966	12043935	2049	26890
99	Perturbator & Protector 101	0	274	602	0	0
100	Power Glove	47	27328	716273	627	2896
101	Laurel Halo	40	97219	1551553	3746	34529
98	Carpenter Brut	57	26923	837685	1677	4861
91	Mathusalem	0	924	8177	3823	13802
92	Com Truise	61	238278	5193900	7004	57264
104	Jasper Byrne	0	24124	349775	1491	9730
96	Miami Nights 1984	50	49570	841604	1754	17224
102	Timecop1983	45	5867	78771	388	1365
105	Mega Drive	0	7034	133358	925	3103
107	Betamaxx	41	14319	122356	776	3805
108	Dynatron	36	9282	101412	527	2277
106	Dance with the Dead	52	15578	617508	426	1329
109	Lost Years	45	13946	213345	440	1706
86	Mark Gergis	0	144	1964	112	781
72	Glass Animals	0	236229	3447991	16164	29328
42	Various Artists	79	808751	18128459	1373	10240
9	B.G.	51	197617	825561	2069	27368
15	Mannie Fresh	59	54386	282043	3308	49150
67	Of Porcelain	0	11049	191232	7784	29271
87	William S. Burroughs	30	42924	421982	1409	20555
78	Above & Beyond	73	489358	10345390	0	0
75	mind.in.a.box	44	64323	3724186	10153	17731
83	Aphrodite's Child	43	103460	1491309	5406	50613
196	Warp Technique	23	8424	88252	95	1370
197	Perpetual Loop	26	13813	119307	155	882
198	Moshic	23	17169	326645	266	1765
199	Sygnals	15	2853	18075	92	767
119	Abakus	43	104493	1578556	1417	10942
200	Super Minerals	4	3526	49192	34	782
121	L.S.G.	27	25039	268496	1731	18738
201	Kenji	48	1526	14125	24	117
202	Rone	54	73584	1125418	1207	10432
203	Maribou State	62	50637	419972	1569	9624
122	Carbon Based Lifeforms	51	316566	10932253	1877	15855
137	Argaman	21	4672	83948	111	695
129	Ott	51	164362	3087654	1713	21888
125	H.U.V.A. Network	43	92534	1913743	598	4585
126	Asura & H.U.V.A. Network	0	0	0	0	0
204	Andrew Bayer & Ane Brun	0	5	21	0	0
2011	Spacetime Continuum	21	0	0	705	6783
131	Connect.Ohm	29	9272	156001	147	932
120	Kuba	47	63766	1057602	1219	16599
192	Tripswitch	38	93851	1126634	1074	9190
205	Foamo	39	38678	191883	797	15532
135	Easily Embarrassed	37	48014	824283	633	9748
2012	Double Muffled Dolphin	1	0	0	23	84
2013	Jimmy Cauty	0	0	0	1100	11609
136	Ishq	35	86100	1091816	1407	22678
140	Mystery of the Yeti & The Infinity Project	0	1	1	0	0
141	Progenie Terrestre Pura	7	2699	37990	46	322
142	IAMX	53	509098	25620694	1233	23975
132	Shulman	35	81280	1184861	1158	23475
143	Alice Coltrane	42	101362	1140482	1585	12388
2014	Alex Paterson	3	0	0	565	5104
2015	Transit Kings	10	0	0	35	370
2016	battersea dub codex	0	0	0	7	76
147	Flowering Inferno & Quantic	0	79	1418	0	0
149	Heavyweight Dub Champion & Liquid Stranger	0	0	0	0	0
150	Lisa Gerrard	69	314139	4632001	2383	20193
151	Pink Martini & The Von Trapps	4	1268	24231	0	0
152	Émilie Simon	50	441204	9721034	950	20872
153	Govinda	42	93848	799224	655	6451
154	Arvo Pärt performed by Beats Antique	0	0	0	0	0
155	Chick Corea	54	316363	3355437	6096	57428
2462	Nils Frahm	71	251615	5689687	11592	70238
156	Afro Celt Sound System	42	112560	1753995	488	4508
157	Fela Kuti	55	239619	3311129	3921	51324
2463	Van She	50	339499	4419255	1482	24847
117	Shpongle	55	423914	16145455	3156	36290
2464	Rob	41	22003	235041	676	5559
158	Riva Starr	57	50779	263699	4264	41327
2018	Cid Rim	31	15638	142959	7003	73900
159	Azam Ali & Loga Ramin Torkian	27	483	11478	0	0
133	Entheogenic	41	137105	2561007	860	7877
160	Ibrahim Maalouf	56	43667	604805	472	2040
161	Richard Bona	49	99658	1171137	237	1627
2465	Francis Lai	43	71425	505998	606	4370
163	Karsh Kale	42	188135	1200754	517	5320
164	Bombay Dub Orchestra	43	72848	789223	561	6447
166	Matthew Herbert	38	111467	1262227	6185	54816
2019	Airliner	8	18820	169050	98	1255
32	Mr. Oizo	54	563742	7885656	10213	120440
2466	Red House Painters	52	260993	6060701	1347	12704
2467	Jacques Dutronc	54	152844	1736966	658	9561
2020	Solar Bears	29	42942	612364	497	7209
172	Lawrence	47	107200	1030649	2660	26506
173	deadmau5 & JELO	0	4756	19963	0	0
174	Cabaret Voltaire	39	179470	2436076	2617	27859
175	Lost Sounds	30	24676	536516	161	1362
176	The Last Atlant	11	13020	91637	136	1140
177	Various Artists under Pete Anthony	0	0	0	0	0
2468	Darkel	21	94534	632208	116	1501
180	The Ian Carey Project	0	111791	856141	2616	40948
181	Nelly Furtado	76	2166583	42726781	6129	90897
182	Byron Stingily	33	39148	134670	912	7159
183	Afrojack	92	457272	4180918	17131	237637
184	Basshunter	68	661975	14949732	1674	26617
2023	bansheebeat	11	833	19919	98	504
2469	I Monster	52	306440	3397099	2059	27114
187	Audio & Spor	0	1	1	0	0
2024	Space Dimension Controller	28	28070	335005	1191	13829
189	deadmau5 & Melleefresh	0	1725	11997	0	0
2470	1TYM	0	10314	752066	27	272
191	Bernard Badie	9	2605	9206	191	2658
138	Kaya Project	44	85478	1217180	801	7547
128	Bluetech	51	135934	2811192	1938	21715
193	Distant System	10	13415	155867	69	981
195	Eastern Sun	35	47986	279637	187	1908
2025	Stephen Farris	14	5771	40435	60	739
2021	Clark	52	256196	6665305	9228	74449
2471	Mellow	24	26705	228866	549	5328
2472	Fear of Tigers	34	33295	411316	601	10734
2444	Beat Connection	51	116288	1276951	601	8733
222	Jane Jane Pollock	21	1541	20537	6383	10105
2473	Familjen	55	181010	3107121	347	8067
2475	Llojd	45	6764	93953	9	126
118	Gaudi	38	51370	453371	2238	19258
139	Prometheus	24	65419	602405	470	7317
134	Androcell	35	45038	788981	535	4406
145	BT	60	514613	8541131	0	0
194	Celtic Cross	20	80951	770507	161	1480
232	James Plotkin	9	6752	48669	4483	20684
123	Solar Fields	0	246442	7643795	3994	32764
214	Mayhem	46	226354	10108949	3207	32472
2474	The Embassy	37	116232	1549397	242	4722
238	Fate's Palette	0	168	1692	2808	9411
220	Herva	12	2134	16093	7111	12403
127	Asura	45	141284	2633540	1687	15729
221	cEvin Key	18	33511	421778	6748	11094
216	Tangerine Dream	53	348264	6328780	30703	87657
223	Nico	63	520123	6996866	8989	131426
165	AronChupa	77	120355	725472	895	2720
148	Can	52	365261	8698919	8880	113662
236	Nação Zumbi	53	60687	5853334	3186	11010
213	Ane Brun	74	393729	8659968	5546	48497
215	Team Me	50	78826	1116658	1075	13649
231	alt-J (∆)	0	85676	3110797	8314	49427
2026	VHS Head	25	16857	356651	551	4746
242	TV on the Radio	70	1282144	37728406	6065	80133
2027	Onra	55	142665	4711989	1845	20835
243	Benge	17	8469	104699	2516	17611
329	Bomba Estéreo	68	78674	1168500	406	4071
2028	John Beltran	35	50504	368064	1860	9814
2029	Oriol	17	11057	138341	112	1895
249	A Day Well Spent	0	2167	5054	2104	75296
2476	La Casa Azul	53	71866	2746891	153	1480
2031	Keaver & Brause	0	16393	163931	0	0
2032	MemCave	0	25	192	19	177
2033	Teebs	53	123255	3734216	4593	42319
2477	Phoenix	77	1842140	68216094	8461	124452
328	Neon Indian	67	555781	12866359	2966	46029
257	Efdemin	44	100485	1062486	3484	26274
258	Isolée	44	164932	1569357	2345	33867
259	Sei A	46	34488	195903	4746	79260
260	Luomo	33	136066	1370854	3530	45746
262	Andrea Martin	35	6118	39777	856	13608
2478	Big Spider's Back	26	46510	340064	127	1812
264	Jennifer Cardini	21	4634	33221	959	17519
2034	Kona Triangle	32	19733	325140	96	1165
267	Carl Craig	45	131440	937732	16434	148756
268	James Zabiela	35	52916	330721	1701	25248
2035	Phasen	5	3408	39624	84	730
270	Maya Jane Coles	57	117946	1504143	5360	46034
271	Nick Höppner	32	5504	35909	890	7241
272	Basic Soul Unit	18	11057	54512	1102	11429
273	Steffi	32	23038	193460	1667	16412
266	Ricardo Villalobos	45	208493	2563794	7987	84271
275	Justin Martin	51	72081	424056	6569	81806
276	Dusky	57	58696	556469	4929	36410
277	Joy Orbison	47	149672	1040866	5904	91486
265	Gui Boratto	59	316570	5264316	6834	90043
278	Papa Sang Bass	0	439	1279	281	1357
2479	Femme	42	12940	66123	1353	5190
279	Dauwd	47	40868	302519	1826	9571
261	Paul Kalkbrenner	73	451943	15921998	3159	44050
281	Allì Borèm	23	143	599	310	2144
282	Huxley	51	35701	200253	3582	24596
274	Booka Shade	61	487015	9324665	5342	63960
283	Three 6 Mafia	68	691305	9586096	4842	80187
284	Rich Homie Quan	87	76754	770718	4042	20402
289	Curren$y	68	840206	10787972	6822	111228
338	Netsky	67	323112	8892862	7005	85639
287	Tommy Wright III	7	17177	248136	155	848
288	Slim Thug	67	373094	2513685	4595	56130
290	Scarface	66	334912	2920289	10041	128966
291	Paul Wall	65	299383	2116250	4378	55536
292	Ace Hood	72	664502	3835183	1656	25942
294	Chingy	65	604892	3557579	1089	13025
295	Pretty Ricky	64	418678	2554786	180	2846
297	Lil' Wyte	58	3166	37121	1047	13800
298	Sister Hazel	60	418858	4479209	563	5454
299	Webbie	66	281785	1188214	1495	20557
296	Plies	67	735035	4254602	2233	45658
300	Dorrough	56	198498	636796	391	6611
301	Purple Ribbon All-Stars	0	15566	99316	61	841
302	Geto Boys	62	274047	2748889	1175	12729
303	Ying Yang Twins	71	516473	3758272	1789	24046
304	DJ Kridlokk	46	6727	528260	113	941
293	Big Smo	61	7401	57755	53	274
305	Killa Klan Kaze	19	987	5002	197	2629
306	August Alsina	78	58481	703846	1449	7518
307	YoungBloodZ	60	227869	1315142	411	6415
308	Lil' Keke	56	93394	423300	1257	13072
310	Josephine Johnny	4	93	567	19	188
335	Joanne Wilson	15	394	1097	53	312
311	Botany Boys	14	10632	41198	237	1372
312	Dem Franchize Boyz	53	231832	1171401	280	3225
309	DJ Paul	47	90342	568440	1789	20097
313	Guerilla Maab	38	49173	285831	86	649
314	Kevin Gates	82	44599	1009627	1431	7150
315	Gucci Mane	78	1050580	11526647	8778	151421
316	Field Mob	49	68162	401577	243	3671
317	Ace 1	0	5	12	7	85
318	Haystak	56	21674	250990	47	579
319	Magic	82	19985	177278	811	7622
320	Juicy J	89	417080	4720201	22448	171737
323	Lemonade	42	114560	880688	715	15124
244	Mastodon	67	725652	39487907	6581	83215
331	Adolfo Echeverria y Su Conjunto	23	809	1878	95	1150
333	Brothertiger	44	86509	1052056	526	7404
345	Holy Spirits	8	3133	16138	50	567
336	Amara Touré	30	167	794	109	584
337	Marc Anthony	85	385756	4010856	5810	31360
339	Ruf Dug	12	764	2693	278	1349
351	Souleance	41	22690	182344	318	3090
340	Hiroshi Sato	1	564	10909	209	1155
341	Dylan Stark	22	801	8423	37	157
254	Talk Talk	60	523461	7433715	4712	53773
342	Systema Solar	51	21758	253491	101	1100
343	Celia Cruz	65	269653	1859254	1003	11451
344	Lay Bac	14	16473	117190	76	1034
346	Aníbal Velásquez y Su Conjunto	27	254	2390	77	787
348	Coyote	31	19074	90482	936	10370
350	Batida	37	8982	55680	316	3080
357	ZSOU	0	109	304	104	607
325	St. Lucia	68	247894	2784296	2905	23019
352	Ana Caprix	0	1551	17433	94	377
353	Joni Forest	0	2	32	25	48
327	Javelin	46	100354	1649638	1880	33248
354	Nguzunguzu	30	29688	266804	2548	25037
355	Andres Landero y Su Conjunto	24	860	3418	17	139
356	BeatauCue	33	35225	184566	3451	53634
347	Monster Rally	48	48908	1065195	348	3826
358	Dave Nada	38	5260	27864	341	7237
322	Chalices of the Past	0	6432	37162	193	4415
332	Lord Huron	72	208558	3067101	1712	10450
321	Candy Claws	32	61623	920602	846	9753
326	Seahawks	23	9693	101303	582	4845
280	Luke Abbott	45	84347	793997	4921	51035
247	Panda Bear	64	594341	14200602	15637	161834
240	Animal Collective	62	1187477	68857221	10954	198205
248	Frank Bretschneider	24	40486	548472	3404	22693
349	Ramzi	34	4728	39511	185	404
324	El Guincho	49	164878	3077843	682	13172
285	UGK	71	308230	3835998	7015	70093
359	LOL Boys	36	37340	228010	937	12731
360	Al Doum & The Faryds	0	531	5176	0	0
334	Martin Denny	44	101149	1042349	816	6985
363	Death from Above 1979	63	688034	20754944	3371	25930
365	Multiple Man	6	826	6608	828	13261
366	The Velvet Underground	68	1821223	52488621	11477	153134
362	Shellac	43	123919	3806914	2505	17717
367	Perfect Pussy	36	46716	601442	1027	5790
2036	Boreal Network	1	2587	50628	98	610
369	Metz	51	93231	1484254	1295	8742
373	The Raveonettes	55	599236	14617367	2122	25925
2421	Korallreven	36	68568	690834	495	6076
376	Health	59	302150	6400826	4764	82856
2037	Samiyam	51	120140	1943801	4744	51819
414	Faunts	44	94060	2153260	3031	29628
388	Salem	42	188923	5206491	2880	39758
377	Drive Like Jehu	36	105948	1744078	477	4646
380	The Jesus Lizard	42	156625	3784006	941	9887
2480	Catpeople	32	57970	854338	5	65
446	Secret Machines	47	235843	2833974	1365	27252
382	Butthole Surfers	56	429065	5851230	2263	24687
375	No Age	43	286600	7697058	2527	49834
374	Big Black	3	162556	3922591	1060	10475
384	We Were Promised Jetpacks	57	229923	4789209	6565	74996
385	Acid Mothers Temple & The Cosmic Inferno	13	12618	87854	0	0
386	KEN mode	0	0	0	453	2423
2481	Gaussian Curve	22	1289	21211	188	503
2482	Jonny Nash	22	2514	11457	383	1496
392	Whale Fall	21	1779	26822	7155	11148
2483	Gigi Masin	25	2680	68891	552	2176
394	Sonna	16	11144	85450	4947	18707
250	Death Grips	64	239717	17967365	9294	65768
2484	Young Marco	36	11483	41321	1158	6755
2419	ceo	37	113707	1483334	684	8853
401	Dorena	27	27681	388379	2155	15605
403	Amiina	52	304886	5153502	2268	19331
405	texas pandaa	0	5592	186314	1647	13454
410	░▒▓	0	1880	7671	2859	51716
411	3epkano	16	12964	219856	1452	12041
424	M83	78	1660839	69657507	11178	155260
413	And the Giraffe	12	2693	28713	1344	22868
407	Arcade Fire	75	2368232	158350189	17875	221397
782	Cults	69	545572	10466358	1647	24388
2423	Studio	33	79608	950056	385	7715
2424	Piano Magic	32	153002	2932934	549	5724
419	Fire! Orchestra	20	8811	54725	1648	14224
449	Ben Khan	55	57257	453107	375	1561
2425	Postiljonen	47	47475	675325	1338	6113
421	Aural Method	28	4199	78681	1166	11509
422	Port Blue	46	54408	1683413	1121	9667
423	Rodan	25	27095	283191	3971	53655
425	The Drift	25	22302	243900	1033	13545
2426	Museum of Bellas Artes	30	29646	222830	61	1031
406	Godspeed You Black Emperor!	54	108448	1817787	7577	73395
2427	Midnight Oil	62	402926	4498998	998	8123
2428	Nordpolen	33	26591	503478	30	1227
2429	Southern Shores	31	35428	238474	91	923
2430	Lake Heartbeat	24	16466	199519	39	958
430	Giorgio Moroder	72	260845	2398033	13538	107808
431	Kjell Anderson	3	392	5522	1107	6322
2431	The Honeydrips	25	44821	437990	88	952
454	Alexander	51	174757	1488467	851	7815
395	Oceansize	41	209775	8153594	3351	26870
434	35007	26	17649	545212	1239	9997
